,time,tavg,tmin,tmax,prcp,snow,wspd,airport
115,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,DFW
116,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,DFW
117,2017-01-16,12.1,10.0,12.2,0.0,0.0,8.6,DFW
118,2017-01-17,12.1,9.4,17.8,0.0,0.0,11.9,DFW
119,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,DFW
120,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,DFW
121,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,DFW
122,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,DFW
123,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,DFW
124,2017-01-24,11.3,4.4,18.9,0.0,0.0,10.4,DFW
125,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,DFW
126,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,DFW
127,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,DFW
128,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,DFW
129,2017-01-30,4.3,-2.7,10.0,0.0,0.0,9.7,DFW
130,2017-01-31,8.7,1.1,21.1,0.0,0.0,15.5,DFW
131,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,LAS
132,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,LAS
133,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,LAS
134,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,LAS
135,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,LAS
136,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,LAS
137,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,LAS
138,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,LAS
139,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,PHX
140,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,PHX
141,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,PHX
142,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,PHX
143,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,PHX
144,2017-01-09,-4.5,-8.2,0.6,0.0,30.0,7.6,PHX
145,2017-01-12,14.3,7.8,21.7,0.0,0.0,16.6,PHX
146,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,PHX
147,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,PHX
148,2017-01-16,12.1,10.0,12.2,0.0,0.0,8.6,PHX
149,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,PHX
150,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,PHX
151,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,PHX
152,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,PHX
153,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,PHX
154,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,PHX
155,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,PHX
156,2017-01-30,4.3,-2.7,10.0,0.0,0.0,9.7,PHX
157,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,RNO
158,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,RNO
159,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,RNO
160,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,RNO
161,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,RNO
162,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,RNO
163,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,RNO
164,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,RNO
165,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,RNO
166,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,LAX
167,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,LAX
168,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,LAX
169,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,LAX
170,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,LAX
171,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,LAX
172,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,LAX
173,2017-01-09,-4.5,-8.2,0.6,0.0,30.0,7.6,LAX
174,2017-01-10,0.9,-6.0,10.6,0.0,0.0,7.9,LAX
175,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,LAX
176,2017-01-12,14.3,7.8,21.7,0.0,0.0,16.6,LAX
177,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,LAX
178,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,LAX
179,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,LAX
180,2017-01-16,12.1,10.0,12.2,0.0,0.0,8.6,LAX
181,2017-01-17,12.1,9.4,17.8,0.0,0.0,11.9,LAX
182,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,LAX
183,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,LAX
184,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,LAX
185,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,LAX
186,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,LAX
187,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,LAX
188,2017-01-24,11.3,4.4,18.9,0.0,0.0,10.4,LAX
189,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,LAX
190,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,LAX
191,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,LAX
192,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,LAX
193,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,LAX
194,2017-01-30,4.3,-2.7,10.0,0.0,0.0,9.7,LAX
195,2017-01-31,8.7,1.1,21.1,0.0,0.0,15.5,LAX
196,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,DFW
197,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,DFW
198,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,DFW
199,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,PHX
200,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,PHX
201,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,PHX
202,2017-01-09,-4.5,-8.2,0.6,0.0,30.0,7.6,DEN
203,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,DEN
204,2017-01-12,14.3,7.8,21.7,0.0,0.0,16.6,DEN
205,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,DEN
206,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,DEN
207,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,DEN
208,2017-01-16,12.1,10.0,12.2,0.0,0.0,8.6,DEN
209,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,DEN
210,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,DEN
211,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,DEN
212,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,DEN
213,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,DEN
214,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,DEN
215,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,DEN
216,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,DEN
217,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,DEN
218,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,DEN
219,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,DEN
220,2017-01-30,4.3,-2.7,10.0,0.0,0.0,9.7,DEN
221,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,PHX
222,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,SLC
223,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,MSP
224,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,MSP
225,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,MSP
226,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,MSP
227,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,MSP
228,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,MSP
229,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,MSP
230,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,MSP
231,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,PHL
232,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,PHL
233,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,PHL
234,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,PHL
235,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,PHL
236,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,PHL
237,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,PHL
238,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,PHL
239,2017-01-09,-4.5,-8.2,0.6,0.0,30.0,7.6,PHL
240,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,PHL
241,2017-01-12,14.3,7.8,21.7,0.0,0.0,16.6,PHL
242,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,PHL
243,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,PHL
244,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,PHL
245,2017-01-16,12.1,10.0,12.2,0.0,0.0,8.6,PHL
246,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,PHL
247,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,PHL
248,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,PHL
249,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,PHL
250,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,PHL
251,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,PHL
252,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,PHL
253,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,PHL
254,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,PHL
255,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,PHL
256,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,PHL
257,2017-01-30,4.3,-2.7,10.0,0.0,0.0,9.7,PHL
258,2017-01-09,-4.5,-8.2,0.6,0.0,30.0,7.6,IAD
259,2017-01-10,0.9,-6.0,10.6,0.0,0.0,7.9,IAD
260,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,IAD
261,2017-01-12,14.3,7.8,21.7,0.0,0.0,16.6,IAD
262,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,IAD
263,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,IAD
264,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,IAD
265,2017-01-16,12.1,10.0,12.2,0.0,0.0,8.6,IAD
266,2017-01-17,12.1,9.4,17.8,0.0,0.0,11.9,IAD
267,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,IAD
268,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,IAD
269,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,IAD
270,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,IAD
271,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,IAD
272,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,IAD
273,2017-01-24,11.3,4.4,18.9,0.0,0.0,10.4,IAD
274,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,IAD
275,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,IAD
276,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,IAD
277,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,IAD
278,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,IAD
279,2017-01-30,4.3,-2.7,10.0,0.0,0.0,9.7,IAD
280,2017-01-31,8.7,1.1,21.1,0.0,0.0,15.5,IAD
281,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,MCO
282,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,MCO
283,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,MCO
284,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,MCO
285,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,MCO
286,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,MCO
287,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,MCO
288,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,MCO
289,2017-01-09,-4.5,-8.2,0.6,0.0,30.0,7.6,CLT
290,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,OGG
291,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,OGG
292,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,CLE
293,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,CLE
294,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,CLE
295,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,CLE
296,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,CLE
297,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,CLE
298,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,CLE
